"finished","mood","sub_novelty","Q3","study_ID","participant_ID","subject_ID","age","gender","session","date","time","novl1","novl2","novl3","novl4","novl5","novl6","novl7","novl8","novl9","novl10","novl11","novl12","novl13","novl14","novl15","novl16","novl17"
"1","3","7","6","8","5158","17561","22","Male","1","2024-07-22","16:56",0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
"1","7","9","2,9,10","1","2792","17503","19","Male","1","2024-07-22","17:24",1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1
"1","","7","3,4,7,8,9,11,12,13","3","4200","17573","24","Male","1","2024-07-24","04:31",0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0
"1","5","5","17","8","5158","17561","22","Male","2","2024-07-28","00:09",0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
"1","8","8","17","4","437","17593","22","Female","1","2024-07-28","08:58",0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1
"1","4","7","1,9,15","11","837","17544","25","Male","1","2024-07-29","00:51",1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1
"1","7","8","12","8","5158","17561","22","Male","3","2024-07-31","02:22",0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
"1","8","1","7,9,15","1","2792","17503","19","Male","2","2024-08-01","17:35",1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1
"1","8","6","17","11","837","17544","25","Male","2","2024-08-02","23:59",1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1
"1","6","6","5","4","437","17593","22","Female","2","2024-08-03","15:22",0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1
"1","5","7","5","4","437","17593","22","Female","2","2024-08-03","15:35",0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1
"1","5","7","6","8","5158","17561","22","Male","4","2024-08-03","16:03",0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
"1","6","5","5","4","437","17593","22","Female","2","2024-08-05","02:49",0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1
"1","6","7","4","4","437","17593","22","Female","2","2024-08-05","06:58",0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1
"1","8","","1,4,15","14","231","17349","13","Female","1","2024-08-05","14:35",1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1
"1","5","5","5","4","437","17593","22","Female","2","2024-08-05","14:53",0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1
"1","7","1","9","1","2792","17503","19","Male","3","2024-08-05","17:41",1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1
"1","4","4","4","4","437","17593","22","Female","2","2024-08-06","11:53",0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1
"1","5","5","4","4","437","17593","22","Female","2","2024-08-06","11:54",0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1
